id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
38782581~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1549725948040,1,0,Was not useful.Will not recommend. you can see some youtube videos informally to gain some background information.,0,0,rameshkumar govindaraju,38782581
29044887~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1534826232748,1,0,"If you are seeking to learn the basics of the Internet - what is a server? What is an ethernet cable? Etc, this is not the course for you. The course basically contains a lot of interviews with people who invented the Internet and you need technical knowledge to understand them. But it is an awesome course for anyone who is taken aback by the brilliance of the minds that created the Internet and is looking to hear from the inventors themselves. I recommend you take a course on the basics of computer networking and then do this course. BTW Dr. Charles Severance is a super guy. ",0,1,csceconomics,29044887
29687084~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1510548692057,1,0,Its says i got some wrong when i know i got it right.,0,0,Harold Agbulu,29687084
3108880~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1445236091093,1,0,"Videos are poorly edited (too much blank space, the bullet points are not clearly visible, there is no narrative or discursive structure, the diagrams are not clear, and the interviews are raw and unedited). Sessions are too long and include too much irrelevant information. The little useful information there is, is not structured clearly and thus it's harder to learn. The material for the first 3 weeks resemble more to someone talking about ""the good ol' days"" rather than a properly thought-out history class. I had to leave the course as I found it to be a waste of my time, and I am glad I decided not to pay for a certificate for it. My expectations were a lot higher for a University course.",0,0,Laura Vianello,3108880
22189~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1443884150882,1,0,"Perhaps it's just that I'm not a part of the target audience of this course, but I am deeply dissatisfied with it. Aside from a couple of rare interviews and old video records [which admittedly were very interesting, though too few], I found nothing of value that cannot be learned by reading Wikipedia or other easily accessible sources. The course is pretty light on technical details and there could [and perhaps should] have been much more beyond-the-scenes content, as well as references to specific documents and events in order to justify this course's existence.In other words, if you are a techie and are indeed interested in this topic, chances are that you already know most of the material taught.",0,0,David Perry,22189
8847742~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1643459328999,2,0,"T​he first part is all interviews, a barrage of interviews full of small irrelevant details, the second part is very basic stuff",0,0,Raffaele Mancuso,8847742
401436~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1606485769733,3,0,"questionable humor, but otherwise nice scope/survey without going too deep",0,0,Alex Gill,401436
25954118~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1495811076633,3,0,"It was ok, sometimes the videos were dry. I found myself using code.org and techquickie videos to better understand the material in a more interesting way.",0,0,Daphne Fauber,25954118
7522207~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1440799557722,3,0,It was more historical than I expected. Gave me some new and interesting knowledge especially in security topic.,0,0,Zoltán Zelenka,7522207
9225417~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1439842902184,3,0,"very funny,enjoyable and helpful",0,0,Ali Badawy,9225417
89662319~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1671177981566,4,0,"Difícil a veces a la hora de entender explicaciones mas complejas o abstractas, sobre todo si no hablas mucho inglés, pero muy muy interesante, he aprendido muchas cosas nuevas.",0,1,Ángela Sáez,89662319
118400310~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1668939381032,4,0,good experience for this subject use full to future tqs for your teaching...🥰,0,0,Chaitra Sthavarmath,118400310
85746746~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1667548838218,4,0,good,0,0,20BCS4017 DHANUSH J,85746746
40936012~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1658471690116,4,0,Could have bean more elaborated in means of theoretical knowledge but it was very fun and exciting!,0,0,Alp Utku İYİDİLLİ,40936012
101687045~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1652331355472,4,0,Really found the start valauble and what I initially desired when I first enrolled,0,0,zeb smith,101687045
87720672~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1632415448237,4,0,i have really learned a lot and i recommend this course for all who are willing to put in the time and effort.,0,0,Ifeoluwa Wisdom Momoh,87720672
40991379~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1629222120433,4,0,"Great content, but the subtitles have many errors and can speed up in front of the video.",0,0,Aadster,40991379
83852961~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1619186002371,4,0,There is a great deal of information in this course. It provides a true overview of the development of the web. ,0,0,Debra M Iannuzzi,83852961
42131054~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1617271432519,4,0,"The Internet History part of this course is amazing! What's really great is that you get to listen to a lot of people who were behind key Internet technologies (you'd probably want to have a bit of a technical background though as they sometimes delve into details not immediately understandable by a layman). Sadly, Technology and Security parts aren't that great. Dr. Chuck is a charismatic lecturer, but the information could have been more condensed, the slides look downright archaic in 2021, and the ""crap password"" thing probably already wasn't relevant at the time this course was shot.",0,0,Andrey Sinelnikov,42131054
47728022~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1609279932630,4,0,A little bit difficult.,0,0,GaoChihoi,47728022
69768246~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1603753922790,4,0,Very informative background history on the internet and the forefathers and mothers of modern day internet and internet security. ,0,0,Graham Lisitza ,69768246
12045607~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1601774228606,4,0,"A really interesting and relevant course and a highly engaging lecturer. The course content is excellent and well-structured. On the down side, the software-generated transcription of the lectures is poor and needs a lot of reformatting, numerous error corrections and conversion to standard English (for the vast majority of us who do not use the US sub-version of the language). However, this tidy-up process is a great learning tool in its own right, and creates a valuable reference document for ongoing use.",0,0,David Frank Whaley,12045607
69825442~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1601202058871,4,0,"Complete and very detailed history of first computer, network and TCP/IP/APP (OSI model) but not really about security. AT all it's a very good mooc",0,0,Christopher Coutard,69825442
71010757~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1599923130364,4,0,thank you ,0,0,Aniket Dey,71010757
68365074~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1598526167839,4,0,I am very happy to take this course and Mr.Chuck I felt I have learnt many things new. Thank you Mr. Chuck,0,0,Jeevan Krishna,68365074
61246211~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1596876074815,4,0,Best course. But could  have shown more details in application and transport layer ,0,0,KAIMAL SNEHA SURESH,61246211
61404732~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1594487125127,4,0,very informative course,0,0,Moresh Mukhedkar,61404732
57195708~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1594395396305,4,0,"It's good start for anyone who wants to know how it all came to be and how things are getting done now. It's a fun, interesting, educative and most of all, relaxing course.",0,0,Nowshin Tabassum,57195708
56965517~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1593865343532,4,0,Good course to learn.,0,0,"PAWAN KUMAR.P, CSE, 17 Veltech, Chennai",56965517
3239511~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1593767417140,4,0,The videos on enigma could be clearer,0,0,Maria Vanda Pinto de Almeida Sá Dias,3239511
40805199~COURSE!~2UHGXkNtEeSfwCIACxeXRw,1592154320570,4,0,Excellent course and outstanding tutor.,0,0,Ahammad Ullah,40805199
