id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
13728751~COURSE!~4q10vWTrEee1VA7DqjUt-A,1625019810679,3,0,The course is not much in depth but adequately touched upon. More resources and study is advised for people in need. The professor doesn't engage the peers so much.,0,1,Michelle,13728751
59763175~COURSE!~4q10vWTrEee1VA7DqjUt-A,1605775339360,3,0,I don't know why he is reading that fast. All the knowledge gained is through PPT and some other sites. Disappointed with his explanation.,0,1,SAINI VAMSHI,59763175
102764616~COURSE!~4q10vWTrEee1VA7DqjUt-A,1671593743856,4,0,thanks a lot!,0,0,전정훈,102764616
34539418~COURSE!~4q10vWTrEee1VA7DqjUt-A,1610794066543,4,0,good insights in how packet switching works,0,0,Joyce,34539418
70925858~COURSE!~4q10vWTrEee1VA7DqjUt-A,1600834274973,4,0,great course,0,0,Syed Shoaib Azeem,70925858
57417116~COURSE!~4q10vWTrEee1VA7DqjUt-A,1590299487087,4,0,It is useful to learn the new courses.,0,0,KARNATI SRINIVAS REDDY,57417116
58968626~COURSE!~4q10vWTrEee1VA7DqjUt-A,1589859528521,4,0,All Good,0,0,Gamit Paniel,58968626
57189111~COURSE!~4q10vWTrEee1VA7DqjUt-A,1588992377694,4,0,Course videos were pretty much monotonous.Assignments were pretty good and challenging.,0,0,Vishal Shukla,57189111
16004877~COURSE!~4q10vWTrEee1VA7DqjUt-A,1585583671918,4,0,Aprendi bastante. Gracias!,0,2,Rufino Gomez,16004877
115221240~COURSE!~4q10vWTrEee1VA7DqjUt-A,1676088230461,5,0,D--Good,0,0,duylvde170156,115221240
114818746~COURSE!~4q10vWTrEee1VA7DqjUt-A,1674868651812,5,0,Excellent,0,0,Nguyen Tung Duong K17 HL,114818746
114957826~COURSE!~4q10vWTrEee1VA7DqjUt-A,1673862549437,5,0,thank you,0,0,27 - Lê Lộc Hưởng,114957826
115448624~COURSE!~4q10vWTrEee1VA7DqjUt-A,1670836168463,5,0,Very good,0,0,Le Tien Dung,115448624
107373835~COURSE!~4q10vWTrEee1VA7DqjUt-A,1668572758658,5,0,nice,0,0,Pham Quoc Toan (K17 QN),107373835
