id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
6431024~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1590213250256,1,0,"The title is misleading in that the course is very rudimentary and more suitable for non-professionals, and persons new to the world the social media. ",0,0,Mark L.,6431024
26475574~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1504729561143,2,0,"I'm surprised, this course is really dated. The readings and links are for information from 2014. Digital media courses need to be very timely. Additionally, this course emphasizes creating ""engaging"" content... but so far, this course, though informative, is certainly not engaging. There are very few graphics or photos, it's mostly just talking heads.",0,1,Christine Offutt,26475574
32197967~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1617537031576,3,0,Quite dated content. Needs to be updated.,0,0,Ashish Kohli,32197967
675074~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1481605764106,3,0,Inappropriate rating was done for me.,0,0,Nitish Maurya,675074
5793044~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1466023202834,3,0,Nowhere near as useful as the first two courses. The assignment did not feel particularly relevant to the bulk of the course materials.,0,1,Emily Wachowiak,5793044
28656355~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1620915612896,4,0,"The best part of this course was the examples at the end of some of the ideas they talked about and how it works. I really wish more of this specialization focused on real world examples. Also I wish the examples were updated regularly. The ones they used were from 2010, a decade ago!!!!",0,0,Corrie B,28656355
68401921~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1604725342232,4,0,I am glad to Coursera that I have learnt many new theories techniques through out the course. It is very interesting.,0,0, A. Chandima Dayangani Pigera,68401921
68540551~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1598654141248,4,0,"I liked the course. It was professionally made although i did not like week 2, the content was basic. I really like the fact that all the speakers were really clear when explaining and they always show examples.",0,0,Ana Paula Garcia,68540551
58954891~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1593701082836,4,0,"I enjoyed the dialog format and content, very useful and insightful",0,0,Elaine Rosa,58954891
26185193~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1521699590198,4,0,"I absolutely enjoyed this course too. The content was very comprehensive and meaningful.However, I would repeat one feedback for all these courses:I would have preferred to have the Case Study in the third week instead of the second. Trying to complete the Case Study without completing the last few topics did not make sense to me.If you can check and rectify that for future students it will be great!Thanking YouSaradwati Chatterjee",0,1,Saradwati Chatterjee,26185193
22817354~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1488002157354,4,0,Very knowledgeable and insightful discussions.,0,0,John Weiss,22817354
4647790~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1463067615289,4,0,Great course. Thank you.,0,0,James T. Starke,4647790
102215544~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1662130590796,5,0,"Great content!  The examples are getting a little dated (2016), but the strategy remains solid.",0,0,Colin Perkins,102215544
89238305~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1649520168671,5,0,I​ enjoyed it and learned a lot.,0,0,Jeremy Lee Schrader,89238305
65866388~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1619444063448,5,0,"A well-detailed course though it is outdated, the pieces of information in there are very useful.  I have never taken a content strategy course on any platform which is as detailed as this.  With this, I have been enriched with knowledge and I have been able to detect errors made by so-called experts in content strategists and social media managers.",0,0,Yishawu Ibrahim,65866388
76599851~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1615974583503,5,0,Awesome as always...,0,0,Tayo Alagbe,76599851
19322145~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1611112043386,5,0,Like all of the courses leading up to the Specialization i was very happy with all the information that the professors talk about. Very helpful.,0,0,fcastilloch,19322145
7755848~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1610607654327,5,0,Excellent course.,0,0,Kent,7755848
9713327~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1609473470854,5,0,I love John Lavine's style of teaching! Awesome course! ,0,0,Lemuel Adlawan,9713327
41971491~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1609442782024,5,0,"Excellent course, great instructors, lots of knowledge that you can use.  ",0,0,Mary Lee,41971491
73018935~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1609080620503,5,0,Good idea,0,0,Tong Van Chien,73018935
24303122~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1606875234368,5,0,Este curso es asombroso. Súper práctico y llevadero. Totalmente recomendado.,0,0,César Damián Bacarini,24303122
75819153~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1605887398989,5,0,Learned a lot and appreciated the chance to try out what I learned by writing a blog,0,0,Jessica Savitt,75819153
19771495~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1604944414732,5,0,Excelenete contenido.,0,0,Melissa Oviedo Sáenz,19771495
11663597~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1601264365993,5,0,Nice course.,0,0,Cesar Siso,11663597
62116841~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1593817143156,5,0,It's a pleasure taking this course with Mr. John Levine and Ms. Candy Lee. I'd like to meet them in person one day. ,0,0,Rayeed Hussain,62116841
4636069~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1589645518711,5,0,"Build upon previous courses and provides new, practical, thought-provoking material. The course is well-organized. ",0,0,Jill Miller,4636069
53466481~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1588738819115,5,0,"I loved this course! Its practicle, expresses the real world out there. Not just a college course that you will forget after you finish! ",0,0,Sinem Cengizkan Solpan,53466481
12442313~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1572175338153,5,0,I'm definitely getting value from this course. Thank you. ,0,0,Kathryn Schenk,12442313
7030115~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1565743501273,5,0,Randy and the team are brilliant. I am redoing this entire specialization to remain engaged with the content. Great work Randy and Northwestern!  ,0,0,James-Anthony Giorlando,7030115
27727848~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1551907079466,5,0,Great course!,0,0,Nhat Quang Le,27727848
4153263~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1544573131794,5,0,"Great course, informative, relevant, easy to digest and applicable straight away. ",0,0,Craig Wood,4153263
12528741~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1535570093793,5,0,This is the most informative so far. Lots of ideas and techniques for cost-effectively working with different popular social media platforms.,0,0,Joe Todd,12528741
2481019~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1518793395442,5,0,"  I wish they'd have a higher level of interactivity because sometimes it gets quite boring. Great info, but they present it in a dull way sometimes.   ",0,0,Diego Salinas Gardón,2481019
6043266~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1507136627686,5,0,"I'm very pleased with all the courses in this series, lots of great information.",0,0,Gerard,6043266
27343642~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1501179191576,5,0,I will enroll in professor RANDY HLAVAC specialization too. Great professionals and online learning is really giving me the opportunity to learn from the best in the field. ,0,0,Dario Rampello,27343642
6671845~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1461190210892,5,0,Good course.,0,0,Edward Boon,6671845
18372608~COURSE!~5m6nhwPfEeW5PCIAC7Jo6Q,1460907576016,5,0,Please open capstonr course soon,0,0,Phan Thế Anh,18372608
