id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
39545252~COURSE!~5uY2s0U4EeWbNhIvIryYow,1596105004193,1,0,"Please think before choosing this course as you have to wait for a very long time to make your peer-graded assignment to get approved. There is a lack of Peer Reviews so think of it once before choosing this course.

Here you only have theories with no practical assignments & its not worthy at all. It took me around a week's time to request people to please grade my assignment.",0,0,AKSHAY MANGAL,39545252
38252913~COURSE!~5uY2s0U4EeWbNhIvIryYow,1560242350512,1,0,"Content is largely out of date, finicky wording on questions, no fellow students to ""grade"" (yet, it forms part of the assessment).Great idea though, had high hopes! ",0,1,Scott Squires,38252913
18610098~COURSE!~5uY2s0U4EeWbNhIvIryYow,1482939258188,1,0,Having to pay before you take the course is really disappointing. Not many students to interact with because of this. Course was very basic also. Not worth the money. Coursera offers many quality courses which are much better than this one. ,0,2,Ally Morton,18610098
13327814~COURSE!~5uY2s0U4EeWbNhIvIryYow,1496347894331,3,0,for those who are working with social media.,0,0,Joy Smith,13327814
79626160~COURSE!~5uY2s0U4EeWbNhIvIryYow,1618723729322,4,0,"I enjoyed and learned so much, thank you, however I’ve had to do 2 of the sections twice and it still shows in progress or 1 assignment due, when I click on it it’s completed I’ve also got a congratulations on finishing from the professor yet still showing more !! As far as that goes - no stars The teaching- 4 stars I feel as if this maybe fake ",0,0,sGm colorSTUDIO,79626160
73820985~COURSE!~5uY2s0U4EeWbNhIvIryYow,1606451924622,4,0,Interesting course but it needs more update since social media is constantly changing. Very few takers so it will take a long time for your assignment to be graded by your peers. But overall a great online course. Thank you!,0,0,Maria Elinor Grace Sison,73820985
69888016~COURSE!~5uY2s0U4EeWbNhIvIryYow,1601321275926,4,0,This was a very unique yet interesting course. I learnt a lot about things which seemed really trivial before!,0,0,Shreyasi Jhamb,69888016
42836170~COURSE!~5uY2s0U4EeWbNhIvIryYow,1600191006434,4,0,great course ,0,0,Marina Nabih Namettallah,42836170
60989023~COURSE!~5uY2s0U4EeWbNhIvIryYow,1591098809179,4,0,Very Good Course. I liked the content. The only difficulty I faced was the Forum was less active.,0,1,Vivek Shekhar,60989023
42180054~COURSE!~5uY2s0U4EeWbNhIvIryYow,1589100774524,4,0,"It was good, but could be more practical rather than just lectures and theories. ",0,1,Fahad Malik,42180054
32711338~COURSE!~5uY2s0U4EeWbNhIvIryYow,1523970461799,4,0,"This course gave me the opportunity to think about social media in a new way.I liked the lesson number 4 because it was the most ""practical"". ",0,0,Margherita ,32711338
113591925~COURSE!~5uY2s0U4EeWbNhIvIryYow,1666913798015,5,0,​it was awesome as i have an expanded knowledge in journalism ranging from face to face communication to social media communication.,0,0,SARAH MCCARTHY,113591925
47857893~COURSE!~5uY2s0U4EeWbNhIvIryYow,1654653717715,5,0,"Curso excelente para aprimorar os conhecimentos teóricos sobre redes sociais, entendendo desde cases famosos da internet a formas de utilizar e ter melhor proveito das ferramentas disponibilizadas, seja para uso pessoal, profissional ou em campanhas.",0,0,Matheus Lopes dos Santos,47857893
90207862~COURSE!~5uY2s0U4EeWbNhIvIryYow,1630873079344,5,0,"This course enlighten me about the social media ethics that I did not thought of it before. The explanation of every modules is well-defined and comprehensive as well. Through this lesson, I absorbed various learning not only about ethics, but about social media networks, analytics, campaigns, and the intention of social media itself. Sending my biggest gratitude to Dr. Jonathon Hutchinson for decking up this module excellently.",0,0,Fauza Annisa,90207862
74072769~COURSE!~5uY2s0U4EeWbNhIvIryYow,1618493540354,5,0,great miss,0,0,Pritam Chakraborty,74072769
81835682~COURSE!~5uY2s0U4EeWbNhIvIryYow,1616600063974,5,0,"
The course gave me a good overview, and let me reflect once more on many things: what's so social about social media, data analytics, social media users (communities and networks), participatory culture and media organizations, and the ethics of social media and people with disabilities. If you are completely new to this, this is ideal. Even if you have been active in social media for years, it is going to be interesting.",0,0,Dorothée ,81835682
74522184~COURSE!~5uY2s0U4EeWbNhIvIryYow,1606664792793,5,0,It is a very good introductory course. Broadens your view on social media and points out main concepts. Easy to listen and very good reading material!,0,0,Deleted Account,74522184
63832425~COURSE!~5uY2s0U4EeWbNhIvIryYow,1603474924118,5,0,"This course broaden my knowledge about social media ethics and how to run a social media campaign ethically. Very clear content, delivery and the assignments are very useful for actual implementation of a campaign. Thank you very much for instructor - university and coursera.",0,0,Premila Gamage,63832425
11562569~COURSE!~5uY2s0U4EeWbNhIvIryYow,1600905924013,5,0,Great course. Congratulation!,0,0,Rigoberto Parris,11562569
60715704~COURSE!~5uY2s0U4EeWbNhIvIryYow,1597672134265,5,0,Overall Very Good Experience With The Courseera,0,0,Darshit,60715704
67062589~COURSE!~5uY2s0U4EeWbNhIvIryYow,1595791043312,5,0,Very interesting. I will recommend it to both future social media managers as well to academic researchers.  ,0,0,Jorge Luis Morton Gutierrez,67062589
50024904~COURSE!~5uY2s0U4EeWbNhIvIryYow,1591007689750,5,0,Excellent course. ,0,0,Pranav,50024904
