id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
21630193~COURSE!~75TPppoQEeaeaRLE7qfOBA,1620325811634,2,0,"The specialization was not really a major one. It felt that a series of videos from all the other 4 courses were put together for this one. The video on Positive Intervention and the assignment there off for Week 3 seemed to have absolutely no connect. This could have been incorporated with the Positive Intervention specialization itself than creating a 5th part altogether. Also the course is uploaded in 2013 - a lot of time has passed by and the team from UPenn and Coursera must make an attempt to refine the knowledge, the links and the information herein. ",0,1,Jigar Vora,21630193
4027713~COURSE!~75TPppoQEeaeaRLE7qfOBA,1589768262228,2,0,"Disappointing ending to an otherwise wonderful course. The order of the videos and material doesn't seem right, and most are just repeated from the other courses in the Specialization, despite being very clear that this one must be last. Also, instructions for work are not clear, and only once it has been submitted you come to realize what you will be graded upon.",0,1,Verónica Márquez,4027713
26744739~COURSE!~75TPppoQEeaeaRLE7qfOBA,1575858655825,2,0,The information in this course was poorly organized. Assignments given were based on information given in later parts and the videos were repetitive through out the course and some ended in weird places. It seemed like it was thrown together to complete the specialization. ,0,1,Andee Gerhardt,26744739
4134025~COURSE!~75TPppoQEeaeaRLE7qfOBA,1522359649583,2,0,Not a very focused course with lots of redundancies.,0,1,Piotr Drozd,4134025
4455733~COURSE!~75TPppoQEeaeaRLE7qfOBA,1507483044154,2,0,"Qualification: this is my judgment of this course after having done the entire Positive Psychology Specialization in order.Very little content. It mostly consists of repeated content from the other courses in the specialization. Some of the interviews are new and useful, but ultimately all the content is very short-lived and repetitive. Also, many of the peer-review assignments had rubrics that didn't really match the prompt, and felt rotten. The way an assignment is graded should not come as a surprise. Grading hard is good, but only if it's fair.My suggestions for this course: - The course needs to use only unique content, and it was short on content already. Otherwise it's just a waste of time and money. It didn't take much time to do anything and I didn't get much out of the course that I didn't already get from an earlier course. - The peer assignment prompts need to match the rubrics used to grade them (this was most noticeable for the last two weeks). Otherwise the peer grading won't matter at all. - There was too little time to judge the intervention. Developing and using the intervention should happen in the first week. Maybe if there's enough time, we could actually try out a peer's intervention!",0,8,Bridger Howell,4455733
989238~COURSE!~75TPppoQEeaeaRLE7qfOBA,1497501500954,2,0,A little disappointed with the absence of depth of this final module.  Quite a few sections were a repeat of the earlier modules making this module a little redundant.  I also find the instructions of the assignments could be made clearer.,0,7,Yuan Leng,989238
769182~COURSE!~75TPppoQEeaeaRLE7qfOBA,1621135847098,3,0,"The subject and contents are quite interesting and useful, but the students are totally by they own. Everything that you produce is reviewed by other students at the same level as you. So feedback are really rare. I did not perceive the participation of any Teacher along the three months. So it is a collection of good videos, a few questions and exercises that you do without professional feedbackOn top of that the certificate stated that you did the courses, but it also says that they are not considered as valid by the university, and that they are not comparable with the ""actual"" courses provided by the Pennsylvania University.",0,0,Rafael Fernandez,769182
81288034~COURSE!~75TPppoQEeaeaRLE7qfOBA,1616284267802,3,0,"While I enjoyed Peterson's ideas a lot and found them a very helpful alternative framework to look at mental illness, I found it a bit of a shame that most of this last course in the specialization was recycled from the other 4 courses.",0,0,Stephanie Scherle,81288034
38591558~COURSE!~75TPppoQEeaeaRLE7qfOBA,1612172339332,3,0,"By far the weakest course of this specialization, sadly. I found the other four moocs very inspiring. This one is a bit repetetive and does not dive into details, thus it is less inspiring. Still it's a good guided mooc to create ones own positive interventions, adressing your personal shortcomings.",0,1,Tom Leonhardt,38591558
27047782~COURSE!~75TPppoQEeaeaRLE7qfOBA,1591786893677,3,0,"I found it rather badly structured, and more of a general advertisement for the VIA classification than an actual course. Also, having the 30-sec introduction at the beginning and end of every single video (no matter how short) was quite annoying. I haven't learned as much as I was hoping, but all in all it was interesting. ",0,1,Sarah De Sanctis,27047782
46201725~COURSE!~75TPppoQEeaeaRLE7qfOBA,1590141434519,3,0,There was no anything new except the idea of pathology. ,0,1,Печенкина Александра Александровна,46201725
37144618~COURSE!~75TPppoQEeaeaRLE7qfOBA,1563148062068,3,0,It was a useful summary of many of the positive interventions and research skills.,0,1,Steve Owen,37144618
29614651~COURSE!~75TPppoQEeaeaRLE7qfOBA,1556268456211,3,0,not as well structured as the others and some of the lectures are lifted from other courses. ,0,1,Eric Lance Britton,29614651
28830172~COURSE!~75TPppoQEeaeaRLE7qfOBA,1550107166657,3,0,"I liked the practical assignments. There was a lot of repitition from other courses in this specialization, so that was less enjoyable. Overall a wonderful series of courses and I am very happy I took them.  ",0,1,Danya Saitowitz,28830172
2208878~COURSE!~75TPppoQEeaeaRLE7qfOBA,1535887120924,3,0,"Starts good, in the last two modules I felt more and more watching a playlist on youtube just to fill the time of the module",0,1,Dominik Wexenberger,2208878
12240311~COURSE!~75TPppoQEeaeaRLE7qfOBA,1520097969930,3,0,"I really liked designing a positive intervention but the videos were taken from the other courses. I would have expected new information. Listening to the same videos for a second time is boring and does not add to the learning experience. Rehearsal is ok, but not the exact same thing.",0,1,Vicky Dierckx,12240311
88843187~COURSE!~75TPppoQEeaeaRLE7qfOBA,1635698066352,4,0,Should be more interaction with someone managing course. In one instance I believed that I received failing grades for peer reviewed assignments because the reviewers retaliated against me for giving them low grades. To whom would I appeal? Transcripts of videos could be done better - many errors.,0,0,Thomas Noble,88843187
