id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
92871580~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1643590359557,1,0,Flagged as a security alert on my Gmail account. ,0,0,Peter Nurman,92871580
99336886~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1642692562227,1,0,i missed the actual learning parts and went straight to the final quiz.... and now i cant unenroll. the steps are not clear. ,0,0,jeanette goldman,99336886
91053982~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1642621238874,1,0,Not good .. I can not under stand anything from the teacher only she kept speaking pointing writing .,0,0,omnia,91053982
58371243~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1641230746922,1,0,cloud document does not work. Cloud document is not the same as instructors. It appears very interesting buy if you cannot do to lack of cloud tools why even take it.,0,0,Norman Greenwood,58371243
21766311~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1613356405100,1,0,unable to unroll,0,0,Alex Sunland,21766311
86244835~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1668031084346,2,0,I think her Google Suite is out of date. I couldn't follow right along with her. I had to search for the functions on my computer. ,0,0,Olivia Anthony,86244835
95631761~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1634488552978,2,0,The spreadsheet was not showing,0,0,i210480 Aimen Ijaz Abbasi,95631761
95738364~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1634638960456,3,0,user interface not good,0,0,i211735 Hamza,95738364
26533262~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1630606487061,3,0,Hard to concentrate as I had to try hard figuring out what the instrucor's saying. ,0,0,98yu Yu,26533262
114625849~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1663774478579,4,0,i​ enjoyed the project,0,0,DINESH SINGH BORA,114625849
87876079~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1646147521794,4,0,Very good course. I thank you.,0,0,Kleider Stiven Vásquez Gómez,87876079
78575985~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1641488347252,4,0,"It is good for beginners to know basics and get acquainted with the steps of making a  dashboard. The instructor spoke clearly. One issue, the workplace sometimes had lagging issues.",0,0,Yasmine M'nassri,78575985
96100000~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1636307331326,4,0,good time,0,0,i210684 Kynat Mansha Goraya,96100000
96486201~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1635935724649,4,0,4,0,0,191CO047 SIVAGNANAM. P,96486201
86750420~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1628874401506,4,0,NEED TO EXPAAND THE FOMULA EXPLAINATION ,0,0,QURESHI WAJIDA,86750420
30105402~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1621850628813,4,0,Interesting course to understand how to visualize data with the help of Google Sheets.,0,0,Aby,30105402
76238160~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1618153600887,4,0,useful,0,0,akshaya narayanan,76238160
61714850~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1616444056938,4,0,Delivers exactly what is promised. Instructions are clear and crisp. Learning by doing is what this course is all about.,0,0,Yastika Shetty,61714850
78480949~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1616215952787,4,0,"It's a great course. Thank you. But, since it is meant for beginners. the instructor may want to explain why she chooses a particular formula over (similar sounding) others.",0,0,iascurrent,78480949
37312597~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1613972800040,4,0,Great course,0,0,Belinda Baxter,37312597
71222068~COURSE!~E-XF1tHmEeqC9wrK2ukh8Q,1608517619752,4,0,It's a hard project but trying helps.,0,0,RoS*r,71222068
