id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
80045543~COURSE!~IPob__yUEea_xArNhnfrng,1616423230521,2,0,"Most subtitles are encrypted, which is very inconvenient",0,0,you hu,80045543
29444962~COURSE!~IPob__yUEea_xArNhnfrng,1513653464446,3,0,字幕,0,0,林小欢,29444962
7542193~COURSE!~IPob__yUEea_xArNhnfrng,1618778448950,4,0,这门课程让我对中日之间的文化交流有了更深一步的认识，非常感谢老师的讲解以及在日考察时所拍摄的照片，不仅仅只是说一些课本上的内容还能看到历史留下的痕迹。非常棒的一门课程，喜欢历史的小伙伴不能错过！,0,0,MIAOJUAN ZHU,7542193
7941595~COURSE!~IPob__yUEea_xArNhnfrng,1521268305220,4,0,课很好，感觉作业题和考试题比较无聊，太细节了,0,0,jiaqi Lu,7941595
67579667~COURSE!~IPob__yUEea_xArNhnfrng,1616651458548,5,0,"自从参与了课程, 了解很多网上搜不到的历史人文知识",0,0,Afra Huang,67579667
68157150~COURSE!~IPob__yUEea_xArNhnfrng,1616491333325,5,0,this course is so professional and interesting,0,0,Wendy-HY Zhang,68157150
53946154~COURSE!~IPob__yUEea_xArNhnfrng,1610331291956,5,0,非常好,0,0,Peach Tao,53946154
18023313~COURSE!~IPob__yUEea_xArNhnfrng,1560655534957,5,0,很棒的课程，收获良多。,0,0,徐铭超,18023313
37567906~COURSE!~IPob__yUEea_xArNhnfrng,1545939515548,5,0,中文字幕有误,0,0,Yu Xia,37567906
5432883~COURSE!~IPob__yUEea_xArNhnfrng,1518966561506,5,0,感謝老師這麼仔細、深切的指導授課，對於中日的各式交流以及歷史緣故，有了更深一層的認識 ,0,0,徐誌謙,5432883
30761074~COURSE!~IPob__yUEea_xArNhnfrng,1514188697972,5,0,滕奶奶讲得真的很棒～,0,0,郑钰瑜,30761074
12480405~COURSE!~IPob__yUEea_xArNhnfrng,1513230817552,5,0,学习了本次课程，收获颇多。尤其对于历史上赴日高僧及来华僧人的事迹，有了较为系统的认识。,0,0,xianer,12480405
30171174~COURSE!~IPob__yUEea_xArNhnfrng,1512617073062,5,0,滕奶奶好慈祥！,0,0,赵炜铭,30171174
14393001~COURSE!~IPob__yUEea_xArNhnfrng,1505301677207,5,0,非常喜欢滕奶奶~~,0,0,李冰,14393001
28410650~COURSE!~IPob__yUEea_xArNhnfrng,1504149209057,5,0,非常好的课程，很多有趣的历史小故事。老师的声音温柔动听，愉快地度过了15个小时。,0,0,LIUXIAOYU,28410650
26667811~COURSE!~IPob__yUEea_xArNhnfrng,1499536972900,5,0,的确学到了很多有趣的历史知识,0,0,jasmine lu,26667811
