id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
82848015~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1616102386720,1,0,not translated for reading in most classes. do not recommend unless you speak spanish as the instructors are not teaching an English speaking class. ,0,4,Geoff s,82848015
69880863~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1604453195353,2,0,"The course is great had it been in English, I might try to finish this by reading the subtitles.",0,0,Terè Alcantara,69880863
107455031~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1653839827990,3,0,jj,0,0,Ebtehal Said,107455031
88853595~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1624884517623,3,0,​good content but don't say it's translated in a certain language if it's not available for the course or evaluation. It's confusing or frustrating for customers who are unilingual ,0,1,Kevin Diallo,88853595
1297917~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1612190573006,3,0,"I am sure that this is a fantastic course.  However, only the intro appears to be in English.  The bulk of the course is in Spanish.  The closed caption is available in English but not the narration.",0,0,Damon W. LaCour,1297917
75392467~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1604417270004,3,0,This course is very educative and helpful,0,0,Titilola Oroge,75392467
38658853~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1597761560119,3,0,"El contenido está bien estructurado y es claro, pero es bastante básico y se profundiza poco. Los instructores no añaden demasiada información respecto al soporte que utilizan, especialmente en los primeros módulos.",0,1,Marti,38658853
123265651~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1676408073324,4,0,This course is very helpful to me it explain how to start a business for beginner and how to grow it.,0,0,Maurice Cayenne,123265651
93674585~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1669169257441,4,0,"It is hard with the material being in Catalan, but good content and Materials for practical use.",0,0,Andrés Vega,93674585
96395733~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1668950814627,4,0,Good for introduction in entrepreneurship,0,0,MARYAM KHALFAN SULAIMAN AL HINAI,96395733
118585754~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1668593599755,4,0,good for begineers ,0,0,Mr. P  Venkatesh,118585754
18385275~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1662025092533,4,0,Una muy buena introducción a la creación de una emprea,0,0,Enric Rubiella Navarro,18385275
109189170~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1656661638040,4,0,Quite good,0,0,Evi Karavanou,109189170
90088706~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1653510612453,4,0,Good information just the slides could have been in english. P,0,0,Danyelle ,90088706
102938270~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1647830966574,4,0,"Videos are Not In english, which make it difficult for non-spanish learners",0,3,ASHRAF Fouad ,102938270
101051794~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1644347593825,4,0,"It was a little hard following the presentations because, I do not know any Spanish. Good content.",0,0,Doug Harrison,101051794
53331125~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1638444024419,4,0,The course was really helpful but is quite confusing when the lecturers are talking with abbreviations that are not explained. Another difficult to proceed thing is that the subtitles and the graphics are in different languages and it´s hard to keep up.,0,0,Bogdana Kostova,53331125
97772601~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1638078862147,4,0,​good,0,0,Nawf,97772601
73379808~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1626848491486,4,0,the course has given a better clarification for understanding the fundamentals in enterpreneurship,0,0,meruvu hari sagar 122024001003,73379808
22651338~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1623288882059,4,0," Me gusto, solo una observación. en los temas 2.3 y 4.2 no se muestra la traducción. Por lo demás todo fue de gran calidad.saludos",0,0,JUAN BOVES,22651338
84596065~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1621532060988,4,0,"Great course, but make sure all videos have transcripts so it helps english speakers to follow through. ",0,0,Louize De Souza,84596065
48984821~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1619517122268,4,0,"Very informative for new beginners. Straight to the point and broad coverage. Nevertheless, many terms are introduced at entry level and should be studied further beyond the course. Also because it's not in English so following the sub is another obstacle. Still recommend!",0,0,Thanh Tran,48984821
80027043~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1614624579114,4,0,Great course for all aspiring entrepreneurs,0,0,Munyaradzi Ncube,80027043
70459449~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1611053956353,4,0,The subtitles cannot be downloaded in some of the videos and it could be amazing if they were available in all of them.,0,0,Luis Castillo Cantero,70459449
76817302~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1607875111605,4,0,Very good for everything thanks ,0,0,Önder TEMİZ,76817302
48281585~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1599514289362,4,0,This course should be in English language also!,0,0,MD Fahim Shahriar,48281585
2201901~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1598104990979,4,0,"The course provides a nice, comprehensive picture of entrepreneurship, along with practical guidance, in just a few hours. Great value for your time. As a constructive suggestion, make the slides in English, so they can be useful for non-Latin language speakers.",0,0,Nilson R Rabelo,2201901
62518966~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1597511442696,4,0,Good course happy to learn,0,0,DEEPIKA SELVARAJ ,62518966
2978751~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1597169248102,4,0,"It could be perfect if it is dictated in a different language. The subtitles in 5.2 are wrong, they show the same as 5.1.",0,0,Camilo Santos,2978751
48085642~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1596998153674,4,0,Very interesting course for beginners in business. Great way to start venturing. Thanks ,0,0,Fatuma Odongo,48085642
66702956~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1595973890452,4,0,"Nice and very complete, even though I consider it should be taught in english or have all the transcriptions ready as is not very easy to follow when transcriptions are not there, we need to pause every 10 seconds and is not very practical.",0,0,Karen Selene Reyes Gonzalez ,66702956
28274160~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1593894005390,4,0,"Very concise! An invaluable resource refering back to the professors who presented it, to put an idea into practice. Some transcripts are missing. ",0,1,Periklis Feresiadis,28274160
111227215~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1672599080226,5,0,Nice,0,0,Jericó San Nicolás,111227215
117359133~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1668513444806,5,0,"iThis course was very useful and helpful to usuusus,the business administration studentsstudentBecause this hahas a lot oflottaught us the realization irealizations in backing up to become anana successful entrepreneurs in the near futureKudos to the management team,team ofteam!",0,0,LAILYN DUMILI,117359133
118152207~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1667920300879,5,0,Good! Thanks a lot!,0,0,Абзалбек Гулнара Аманжолкызы ,118152207
117836850~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1667357383841,5,0,"Thank you so much for the informative topic, I learned a lot and I am happy to learn such things that I will use it for the future.",0,0,Mechell Arendoque,117836850
116122028~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1665568780293,5,0,E​XCELLENT,0,0,VENKATANARESH M,116122028
109681358~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1656576966603,5,0,helpfull ,0,1,Masoud Muslem Saleem AL Jufaili,109681358
31011288~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1653249676660,5,0,The resources were helpful and it was easy to understand,0,0,Usha Lakshmi,31011288
105866873~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1650997301370,5,0,نتع على نبذة عن مشاريع وأعمال في ريادة الأ ,0,0,,105866873
104323876~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1649182944984,5,0,​good,0,0,Khadija Al harthy,104323876
104677415~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1648955384946,5,0,​nice course,0,0,shyam sundar,104677415
104386000~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1648492109640,5,0,.​,0,0,تسنيم بنت حمد الريامية,104386000
97960161~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1641213188526,5,0,​ممتاز ,0,0,Zakiya Abdulla Al-Sulaimi,97960161
81102089~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1639983249328,5,0,certificate,0,0,METTUGARI PRANEETH KUMAR 222000000000,81102089
98403525~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1639229296545,5,0,this good course,0,0,almoatasm aljaradi,98403525
59087473~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1633928889730,5,0,Great Learning for an entrepreneur,0,0,Sushanta Kumar Sahu,59087473
81261466~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1632340192146,5,0,Why isn't there English speaking videos and only in Catalan language?,0,4,Maya Alhashedi,81261466
81476212~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1632067669202,5,0,.​,0,0,Maria Aldabbagh,81476212
81238890~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1631959269599,5,0,-,0,0,Hanin Alhawshabi,81238890
73848044~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1630507387769,5,0,concepts are very informative,0,0,221810310033 KONDAPARTHI SAI PRASAD,73848044
86751601~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1628315791873,5,0,best experience.,0,0,Bakhtawar Sher Dil,86751601
89141175~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1627462733707,5,0,​very helpful course,0,0,Vrisan,89141175
13188661~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1626088102068,5,0,t​hanks,0,0,Mo. Zonayeed Hasan,13188661
72462019~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1624262625664,5,0,"It's a really good, only one thing give me some obstacles, there is not English pronounciation, but this little flaw doesn't reduce any quality of the lessons.",0,0,Jun Jing (Jesse),72462019
83491348~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1619582332261,5,0,It would be great if all the videos have an english transcription because it is easier to follow the reading than to follow the subtitles and takes notes from them. Overall I learned a lot and I am glad I took this course. ,0,0,Sergio Zardoni Sánchez,83491348
84513583~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1618870248895,5,0,Coors was very cool,0,0,Hajer alhoumani,84513583
79728145~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1618490331578,5,0,about improve my knowlege in entreprenuership,0,0,SHIVAM 122024201016,79728145
79933396~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1616170134334,5,0,very good and productive,0,0,GOSARIPALLI RASHIDA 122023604029,79933396
81283705~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1615363742163,5,0,12,0,0,Noof Said,81283705
78421258~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1608974842083,5,0,this course was useful for me. ,0,0,Sameera Ameen,78421258
74625916~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1607886278450,5,0,This course is wonderful l studied a-lot of information about entrepreneurship guide for beginners and how i can got a good business women and ,0,0,Omaima Rashid Hamed Al habsi,74625916
71376055~COURSE!~Umrw_mkzEeq_NQqzfQlhbw,1605272970947,5,0,"Was hard for me since , a) Wasn't in English while it had only English Subtitles, and B) Some Sessions had English texts, while most of the sessions didn't have the Text so those couldn't be read back and this is what made this Course a bit hard for me to follow, but, finally by understanding it a bit by reading the fast forward playing Subtitles, I had managed to pass this Course.",0,0,Guillermo Rodrigues do Tanque,71376055
