id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
119758257~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1675794839542,5,0,内容非常充实，课程不枯燥，知识点梳理的很清晰,0,0,ChenChen,119758257
6841135~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1669823646373,5,0,充满感到，感谢让我期待学习历史！,0,0,yue liu,6841135
24942153~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1654076569994,5,0,Great lesson,0,0,Yuyi Chang,24942153
63662382~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1638765552907,5,0,老师非常优秀，颠覆了学生前期生涯对历史的认知，思辨的想法非常有意义，感谢。,0,0,徐丽婕,63662382
12018311~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1627350712096,5,0,e​xcellent course,0,0,Yu-hsiu Huang,12018311
9972761~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1591527165326,5,0,第一个MOOC证书,0,0,刘胜杰,9972761
25253707~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1586571538083,5,0,"This is a very helpful because it not only will teach you knowledge, but also will teach you the method of thinking, the method of gaining knowledge. In addition, the course will provide you with an interesting perspective of life. I have learnt a lot. I'm very grateful. Thank you so much for teaching this class,  professor 吕.",0,1,Spirit Q,25253707
46241579~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1585384529516,5,0,深受启发，感觉跟以前上的历史课都不一样,0,0,geergou,46241579
48699154~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1580308637682,5,0,很不错。建议边听课，边看史记点校本,0,0,David Li,48699154
48478334~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1579598737028,5,0,听着听着就泪如泉涌,0,0,Even Sun,48478334
45577251~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1577988810793,5,0,吕世浩老师带我重新认识了学习历史的方法，看待历史的角度以及对待历史的态度，谢谢老师！,0,1,林学悫,45577251
179418~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1573626808851,5,0,Excellent material and delivery. It provides many new insights I haven't thought of before.,0,1,Budi Kurniawan,179418
26812945~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1568542334912,5,0,吕师所教导的思辨，受益终生。本课对秦始皇及其它人物做了分析。很多都是自己读史书所不能够悟到的。感谢！,0,1,Mingzhe Huang,26812945
43358121~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1564392767345,5,0,真正的醍醐灌顶，感谢吕老师上传如此发人深省的课程,0,1,康天衢,43358121
42443306~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1563442857542,5,0,非常棒的課程!不僅讓人體會到歷史的趣味性，同時也讓人通過學習歷史充實自己的知識及能力,0,1,卓于傑,42443306
37497098~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1563114654585,5,0,比起此課程，還是更喜歡歐麗娟老師的唐詩新思路！,0,0,彭語婷,37497098
14500421~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1550412327947,5,0,教授讲的精彩，耳目一新，开阔了眼界，,0,0,杨建军,14500421
1918213~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1549722626256,5,0,这门课是我目前为止听到的最好的历史课。比我上学时候听的历史好很多。他的教学方法比较特别的是很，很吸引人。这门课从历史的有趣和有用这两个角度入手，反复强调历史的有趣有用，并且结合历史上的真实故事来论述观点。老师反复强调历史学不讲空话，每一个观点都有相应的论证，使得学习过程更加的立体，启发性更强。秦始皇这个人物，上这门课之前我已经对他的生平事迹有所了解，但是上完这门课之后，我仍然收获很大。我觉着这门课最大的特色就是采用了思辨式教育来讲解历史的有趣、有用。尤其是有用被放在很重要的地位，所以我才有那么大的收获。看一下我这对这门课的学习笔记，就会知道整个学习过程里面会有一些非常重要，值得反复的琢磨，并且把它做到实践当中的观点。就比如说历史读历史有什么用呢？就是太史公说的稽其兴、坏、成、败之理，通过反复的去琢磨历史事件当中的成败，兴坏的道理来指导现实生活当中的决策。历史学在以前是帝王之学，帝王之家的历史学教育正式思辨是教育，如果我也按照这种方式学习历史，那么历史怎么可能会没有用呢！老师也提供了一个非常有用的学习历史的方法，就是每到关键时刻需要历史人物面临抉择的时候。先盖上书自己去想想，如果是我我该怎么做？我能做出更好的抉择吗？其实这就是把历史当成了思想的磨刀石，去磨自己的思想的那把刀。这个步骤是在读历史当中最重要的步骤。我很喜欢这个老师的讲课风格，他反复强调了，他的这门课是多么的特别，他说我这门课所讲的内容在其他的课里或书上都是没有的，如果其他课里面有，那我还要我还需要费什么话呢？如果在其他书里面可以读到，那我讲它还有什么意义呢？所以老师是很看重知识的独特性以及观点的独立性的。我可以感觉到老师是个讲课高手。只可惜，碍于网路课程的一些限制，一些私下的话不能讲出来，一些好的资料因为版权问题不能放上来。不过即便是这样仍然让我感受到了历史学的有趣和有用。分析下秦这个部族的发家史，其实和个人的经历可以做一个参照对比。就是人在穷困的时候可以做到励精图治，然后成就一番伟业，但是一旦功成名就之后，面临各种诱惑人很容易变得骄傲自大，从而一败涂地。这也就是老师强调的，富家子弟大多数处逆境难处顺境易，但是贫家子女大多数处逆境容易，但是处顺境就比较困难。这对我也是一个非常重要的警醒。《秦誓》里面的那些警告，真的是非常的重要的。于一个国家如果他的臣子是那种嫉妒贤能的人，那对于这个国家来说是一个灾难，这个臣子的能力越强，对于这个国家来说，越是灾难。同样的道理在个人接人待物时也适用。不能和那些嫉妒别人才华的人交往，因为那样也会招致灾难。这样的道理我不能说不懂，但是真正能相信它并且去做的，古往今来寥寥无几啊。同样的就是秦孝公，他也是一个非常典型的例子，她发布求贤令就是很好的证明了他的不自欺的这个品质，这是一个非常难得的品质，同样是古往今来，没有很少有人能够做到。这确实是一个非常好的榜样啊。在学的过程当中，我发现燕国太子丹其实是一个非常有意思的人物，如果他放在现在去加入我的行业去做软件开发的话，我觉得他会是一个非常不合格的任务，原因就是他找不着，重点就是事情都有轻重缓急，有很多的点和面，他就是那种给我的印象就是他就是那种。把不重要的点看得很重要，把重要的点反而忽略了那种人，那在现在的。职场里我觉得他是没有什么地位的，因为他经常经常把他自己最重要的精力用错地方，那怎么能得到领导和上司的青睐呢？所以抓重点真的很重要。这也许就是历史学所讲的审时度势。历史学的三大功用：启发智慧，审时度势和感动人心。我不觉得我已经收获了，或者说已经掌握了这些技能，我觉得这是一个一辈子都需要都值得需要反复的琢磨和学习，并且在验证行动思考琢磨的一个过程，这肯定是一个常用常新常想常新的一个事情。不过这么课改变了我对历史学的认识，原来历史可以这么读，原来历史可以这么有趣，有用。这是一个非常好的开始。,0,6,hongbin guo,1918213
38758323~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1548752327562,5,0,能跟着吕老师的步伐，一步一步的学习古代历史知识，认识古代历史人物，同时不停的发问、分析、提炼古代人在那个时代的处世哲学和人生智慧，万分受用。这是在中学甚至国内大学课堂上都所无法接受的启发，听完有种茅塞顿开的感觉。课堂中很多老师的话语都被我摘抄下来，以便日后时时重温。总的来说，第一次看时是震惊，第二次看是更多的感悟和收获。有时间也会第三遍四遍的重看下去。 好书不怕几回读，吕老师的视频教学也是一样，直指人心，感动人心。,0,2,张声俊,38758323
11544136~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1545729482691,5,0,"These lectures by Mr.Lv is very helpful to me. I learn a lot, not only about the history, but also about my life and the age.Sincerely, Thank you, Mr.Lv!",0,1,阮博男,11544136
3852436~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1545530415474,5,0,It is a really good class. You will get some new idea after listening the lecture. I think anyone who want to understand china  should choose the class firstly. ,0,1,Shiwei Lin,3852436
37320789~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1544991811828,5,0, 学到很多道理，对我的人生相当有启示意义,0,0,Herr李,37320789
30878122~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1543414894172,5,0,意识到历史知识的正确打开方式，饶有兴趣的看完了整个课程，期间还看完了“大秦帝国-分裂”，不只是商鞅和秦孝公的惺惺相惜，更有古人的气节和魄力，让我心生佩服。这些都要归功于老师的指引，谢谢！,0,4,Donne,30878122
6631171~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1541324117356,5,0,通过《秦始皇》课程，吕老师交给我们思辨重要性，培养思辨能力的方法，而不是像以前一样把历史当故事看而不去思考为什么。这对以后读历史类著作也十分有帮助！,0,1,张龙飞,6631171
32232659~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1540065511983,5,0,"best history course i have ever learned, ",0,1,Allen Zhang,32232659
33364981~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1536642852355,5,0,I like the teacher and his teaching style. Learn a lot and inspire me a lot.,0,1,Li Li,33364981
5145792~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1535243381271,5,0,以史悟今,0,0,Qianwen Ouyang,5145792
17120949~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1530079148147,5,0,上过的最好的历史课,0,0,Liao Tinghui,17120949
19902469~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1529114453419,5,0,很棒的历史通识课，让我对自己国家的文化，历史有了思考。,0,0,星星年糕,19902469
33407255~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1527770830771,5,0,妙趣横生，引人深思,0,0,Xianrui Lv,33407255
30180670~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1525161151272,5,0,呂老師的講課內容實在非常的精彩，讓學生獲益良多。,0,0,Kojiroh,30180670
33440599~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1525010641730,5,0,感谢。,0,0,salut,33440599
13761294~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1523194823495,5,0,有趣有深度的人文课程，虽然吕老师在网络不能说太多惊世骇俗的话，但是已经让我受益匪浅。,0,1,胡天剑,13761294
1206998~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1522066717603,5,0,師者，傳道受業解惑。謝謝呂老師,0,0,Laurene Liu,1206998
13152949~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1518583384684,5,0,老師深入淺出的講解設計，旁徵博引，真的是受益匪一堂課。,0,0,Yi-yi Chen,13152949
18129374~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1518017125772,5,0,有用有趣的历史课，带来很多思考，谢谢老师,0,0,wuxuxia,18129374
30129948~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1517311008481,5,0,why are you need to learn history? what benefit can you get?  Mr.lv is a good teacher teach you how to think by using those vivid example.,0,1,Rainie,30129948
3668918~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1510996334497,5,0,老师讲的太好了！收获颇丰！,0,0,WenjunXia,3668918
7978206~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1510541020544,5,0,终于完成了本课，在此十分感谢吕世浩老师及其团队。吕世浩老师对秦始皇的讲解，给我最大的惊艳处，在于老师是侧重从“人性”这一历史发展不变的角度进行分析的。重视细节、重视对史料的解读，于小见大，以论从史出、孤证不立的方法来分析历史人物与历史事件，这是我对本课历史学习的感悟。吕世浩老师上课时，语言幽默风趣，声音抑扬顿挫，让人印象深刻；而这种能以启发学生思考与智慧为目的的历史课，正是我所渴求的。再次感谢老师，感谢台湾大学！,0,3,瀟湘,7978206
18046222~COURSE!~UwNrlYaGEeS8XCIACzASlQ,1510321353224,5,0,Awesome,0,0,賴俊亦,18046222
