id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
30465257~COURSE!~aWeQOYdaEeacLAowENVELw,1586873958946,1,0,Terrible! Absolutely uninteresting.,0,0,Evgeny Novashin,30465257
42446649~COURSE!~aWeQOYdaEeacLAowENVELw,1606289485521,2,0,"More specifically, it's a course on how to brainstorm, which is fun, but doen't give you much vocabulry on marketing and sales",0,0,Nina,42446649
55097857~COURSE!~aWeQOYdaEeacLAowENVELw,1594335015002,2,0,It wasn't as interesting as expected,0,0,ANUPAMA R,55097857
16205744~COURSE!~aWeQOYdaEeacLAowENVELw,1607855363451,3,0,"This felt more like a Social Psychology course, than one in English. I thought this would be about copywriting and such. It was well done and fun, but since I already have social psychology knowledge, I didn't find it very challenging or useful. ",0,0,Sophia D.,16205744
43692380~COURSE!~aWeQOYdaEeacLAowENVELw,1596596575803,3,0,good but not excellent,0,0,Basant Ashraf Mohamed,43692380
58112437~COURSE!~aWeQOYdaEeacLAowENVELw,1587914079079,3,0,LEARNED ALOT,0,0,Vikram singh,58112437
70075184~COURSE!~aWeQOYdaEeacLAowENVELw,1670163120348,4,0,it was a helpful course thank you for offering this chance for us online so anyone can get it no matter where they are !,0,0,Salma Youssef ,70075184
88005168~COURSE!~aWeQOYdaEeacLAowENVELw,1628559546466,4,0,​me encanto aprendi mucho ,0,0,Leslie Daphne Escobar Torres,88005168
83997448~COURSE!~aWeQOYdaEeacLAowENVELw,1623386817594,4,0,Very Informative ,0,0,Princy Priya Dsouza,83997448
79574549~COURSE!~aWeQOYdaEeacLAowENVELw,1620648975176,4,0,Learned so much! Yayyyy,0,0,"TEJWANI, KHUSHI",79574549
64430979~COURSE!~aWeQOYdaEeacLAowENVELw,1616559453581,4,0,"What a great experience! The course database is user friendly, ita so easy to use and navigate through. ",0,0,Tembeselani Kebatletswe,64430979
75405642~COURSE!~aWeQOYdaEeacLAowENVELw,1614265703964,4,0,This course has been helpful at the workplace because I'm able to brainstorm with my colleagues ,0,0,Abigail Attah,75405642
60907003~COURSE!~aWeQOYdaEeacLAowENVELw,1608683386241,4,0,"Wonderful course of MKT and Sales, it gathers all the essentials to make a good step at personal and work level, many concepts.",0,1,Daniel Rodriguez Fernandez,60907003
71011602~COURSE!~aWeQOYdaEeacLAowENVELw,1606132907893,4,0,Realy helpful for marketing and sales about multithinking.,0,0,Ece Ersoy,71011602
70668151~COURSE!~aWeQOYdaEeacLAowENVELw,1606107900645,4,0,Week 6 lacks of useful review. I hardly remembered what I have studied in the five weeks.,0,0,Muath Qasem,70668151
63319386~COURSE!~aWeQOYdaEeacLAowENVELw,1597661250793,4,0,Some of the Youtube links are not working,0,0,Ashutosh Vanaparthi,63319386
43121185~COURSE!~aWeQOYdaEeacLAowENVELw,1591381457341,4,0,"Loved this course, the examples and course was designed quite well. Thankyou.",0,0,errxr707,43121185
53941508~COURSE!~aWeQOYdaEeacLAowENVELw,1588144187905,4,0,I honestly expected that I would learn something new but all the professors were easy to understand and the materials that were used in class were helpful.,0,1,Miyuna Tani,53941508
55840050~COURSE!~aWeQOYdaEeacLAowENVELw,1587050128619,4,0,great ,0,0,DEBMALYA KONER,55840050
23640989~COURSE!~aWeQOYdaEeacLAowENVELw,1573508592501,4,0,"I'm very thankful to Coursera and Tutors, who motivate me to complete this course. It was very informative, and I hope I can apply the tactics that were taught in this course. Thanks, again ",0,1,sathya babu,23640989
18407400~COURSE!~aWeQOYdaEeacLAowENVELw,1536505660901,4,0,very very good course ill recommend it ,0,0,Karim Ashash,18407400
23161146~COURSE!~aWeQOYdaEeacLAowENVELw,1531451261190,4,0,This course is helpful enough to gather all information in the heal. Of course you need to study additional resources for the best practice. Thanks to all speakers. You are doing a great job!,0,1,Hanna Zhyhar,23161146
23665965~COURSE!~aWeQOYdaEeacLAowENVELw,1497444786833,4,0,Great course to get throw the specific terms and structures on sales.,0,0,David Quintana,23665965
112775146~COURSE!~aWeQOYdaEeacLAowENVELw,1668223408992,5,0,"Excelente curso, todos los temas muy interesantes y enfocados en las competencias de la actualidad.",0,0,"Mayo Alvarado, Fernando",112775146
112774902~COURSE!~aWeQOYdaEeacLAowENVELw,1664216703130,5,0,n​ice and intresting,0,0,"Brizuela Seijo, Daniela",112774902
95906959~COURSE!~aWeQOYdaEeacLAowENVELw,1661497880793,5,0,It was a great experience and a pleasure to take part.,0,0,Frank,95906959
104401261~COURSE!~aWeQOYdaEeacLAowENVELw,1649561746660,5,0,Very Good,0,0,Diego,104401261
102188412~COURSE!~aWeQOYdaEeacLAowENVELw,1647377696211,5,0,"I  would like to applaud Coursera, I am happy  I choose this platform for enhancement and  I enjoyed this course it provided me the knowedge that will yeild excellence.",0,0,Khemlata Sattan,102188412
95686214~COURSE!~aWeQOYdaEeacLAowENVELw,1638148829187,5,0,Excellent,0,0,Laura Maria Castro Loria,95686214
65063630~COURSE!~aWeQOYdaEeacLAowENVELw,1631886100682,5,0,"This course helped me learn a lot, I am grateful for the opportunity to learn",0,0,NALEDI DOLLY MONEI,65063630
87353926~COURSE!~aWeQOYdaEeacLAowENVELw,1628590528133,5,0,A wonderful learning course.,0,0,Ayesha Augustine,87353926
89188523~COURSE!~aWeQOYdaEeacLAowENVELw,1627384550504,5,0,I enjoyed taking this course,0,0,mihaela covaci,89188523
88793345~COURSE!~aWeQOYdaEeacLAowENVELw,1627352319803,5,0,Awesome.  I loved this course because it was right to the point.  100% recommended,0,0,Cecilia Garrido,88793345
89267549~COURSE!~aWeQOYdaEeacLAowENVELw,1625638422641,5,0,I personally appreciates the course,0,0,Kelvin Odhiambo,89267549
78985421~COURSE!~aWeQOYdaEeacLAowENVELw,1624543184644,5,0,g​ood course!!!,0,0,Tauany Costa,78985421
66651333~COURSE!~aWeQOYdaEeacLAowENVELw,1622226866364,5,0,"As much, as I liked the 3 courses, I've taken, I really don't understand what 4th course is ""The Final Project"" and would appreciate your input. ",0,0,Margaret M. Peterson,66651333
77457783~COURSE!~aWeQOYdaEeacLAowENVELw,1620670182010,5,0,very interesting,0,0,"GADA, SOHAM",77457783
43894811~COURSE!~aWeQOYdaEeacLAowENVELw,1620515540197,5,0,its great,0,0,yacine titoune,43894811
29322876~COURSE!~aWeQOYdaEeacLAowENVELw,1619829064766,5,0,Muchas graciasss!!!,0,0,MYR,29322876
51923075~COURSE!~aWeQOYdaEeacLAowENVELw,1618676666539,5,0,"Прекрасный курс! Отличная подача материала, очень понравилась опция заучивания слов для каждой недели, это расширяет словарный запас. Безумно благодарна Coursera за предоставленную возможность!",0,1,Дарья,51923075
46249449~COURSE!~aWeQOYdaEeacLAowENVELw,1617169865493,5,0,"Excelente curso, una joya, gran cantidad de vocabulario una gran oportunidad de practicar listening, elaboración de presentación de ventas, interpretación de gráficas,  manejo de grupo en tormenta de ideas, elaboración de encuestas, presentaciones en general, técnicas de ventas. MUY RECOMENDABLE...",0,0,SILVIA VIRGINIA SOLANO CABRERA,46249449
79742319~COURSE!~aWeQOYdaEeacLAowENVELw,1616888157369,5,0,Very teorethical and useful ,0,0,MAYERLING SCARLETH LARA AGUILA,79742319
79349260~COURSE!~aWeQOYdaEeacLAowENVELw,1616593214425,5,0,this course is very beneficial to the mngt students ,0,0,SHAILESH PARIHAR,79349260
78658040~COURSE!~aWeQOYdaEeacLAowENVELw,1615350811479,5,0,Awesome!,0,0,Kana Guevara Loredo,78658040
78180135~COURSE!~aWeQOYdaEeacLAowENVELw,1614645969579,5,0,İt was very useful and customer oriented. Stafs are very helpful. Thanks to all Arizona University. I hope we will meet again at the different course. ,0,0,Enver Arda Sevgen,78180135
77373566~COURSE!~aWeQOYdaEeacLAowENVELw,1613246042697,5,0,Этот курс открыл мне много дверей в будущее!Вы замечательные!!!!!,0,0,Valeriya Borisova,77373566
75652086~COURSE!~aWeQOYdaEeacLAowENVELw,1613222603434,5,0,Thank you so much,0,0,Theresa Justaga,75652086
75147385~COURSE!~aWeQOYdaEeacLAowENVELw,1612692500367,5,0,I'm very happy and proud I would thank you and appreciate your efforts,0,0,Mounir Saab,75147385
78791192~COURSE!~aWeQOYdaEeacLAowENVELw,1612642826692,5,0,It is a very complete course to improve your skills in business marketing.,0,0,Yelineth Benitez,78791192
14061831~COURSE!~aWeQOYdaEeacLAowENVELw,1610716645849,5,0,It was amazing experience. Thank you so much for the opportunity and the knowledge.,0,0,Kristoff Potgieter,14061831
37363857~COURSE!~aWeQOYdaEeacLAowENVELw,1610586541932,5,0,This course is so great!,0,0,Alvin Ballesteros,37363857
78112314~COURSE!~aWeQOYdaEeacLAowENVELw,1610465579788,5,0,you're the best,0,0,Shanitah Umunyana,78112314
76153728~COURSE!~aWeQOYdaEeacLAowENVELw,1609358926240,5,0,I found this course helpfully for me for my career ,0,0,Elena Yavuz,76153728
48597406~COURSE!~aWeQOYdaEeacLAowENVELw,1609322769963,5,0,a very interesting and informative course on marketing with great teachers and a lot of useful resources ,0,0,Karolina Svylaitė,48597406
73159738~COURSE!~aWeQOYdaEeacLAowENVELw,1608937439827,5,0,Excellent course: I learned the best strategies to do a good professional performance. ,0,0,Cesar Lopez,73159738
75408322~COURSE!~aWeQOYdaEeacLAowENVELw,1608583295063,5,0,It has been really helpful! I have learned a lot that I can surely use at my current job! Thank you so much.,0,1,Aira Kimberly S. Argete,75408322
74517330~COURSE!~aWeQOYdaEeacLAowENVELw,1607573321700,5,0,iIlearned so much! Thank you! ,0,0,Wildie Gumop-as,74517330
75231528~COURSE!~aWeQOYdaEeacLAowENVELw,1607140478865,5,0,"excelente curso, me abrió nuevas ideas y me gusto lo aprendido.gracias por la oportunidad de aprender por medio de Internet y poder aprovechar la tecnología para estudiar y aprender desde casa ",0,0,William Fagua Sánchez,75231528
71623585~COURSE!~aWeQOYdaEeacLAowENVELw,1607002514882,5,0,I liked the way the course is presented. Different views from the learners. I have tried online course for the first time but it's definetly not the last time. ,0,0,Rasa Matulevičienė,71623585
74917609~COURSE!~aWeQOYdaEeacLAowENVELw,1606902089390,5,0,"Very helpful, learned a lot from this course.",0,0,Mark Julian Anunciacion,74917609
