id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
95930520~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1674260953006,2,0,** Purchase a subscription to unlock this item **. A course I've already taken.,0,0,Brad S.,95930520
118265856~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1667896930839,3,0,good,0,0,Viram Dhangar,118265856
60182440~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1658178944367,3,0,It has to be a little more elaborative in terms of explaining the important functions of Jira. ,0,0,Ridah,60182440
43834892~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1677343556085,4,0,"very good to put into practice, dynamically, the course",0,0,Willy Gino Macchiavello Marchig,43834892
72098213~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1677154122833,4,0,Jira was updated ,0,0,Ragnar Kalde,72098213
93748429~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1674084641691,4,0,"Aprendes lo básico en este curso, muy corto.",0,0,Berenice Ortega Gómez,93748429
6172032~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1673320229040,4,0,"Clear explanations, the project can be completed within the specified time.",0,0,Ascánder Suárez,6172032
121142589~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1672983736566,4,0,ok,0,0,Lakkidi Sushma,121142589
116889334~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1665871663966,4,0,w​here is my certificate? ,0,0,Oumaima Boudaouara,116889334
109402492~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1665490129364,4,0,G​ood one,0,0,Swati Ashok Naikwadi,109402492
2886749~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1664996523147,4,0,S​UPER,0,0,Mladen Karic,2886749
83469288~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1663925589145,4,0,g​ood,0,0,Monisha S,83469288
95683908~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1663908317884,4,0,Easy to understand with step by step hands-on guided session on Jira tool  ,0,0,Sonali Utkarsh Mahadik,95683908
108960459~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1658485186582,4,0,good,0,0,Dola Reddy,108960459
100613802~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1657795674284,4,0,hjk,0,0,Snehal Thorat,100613802
97982168~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1654850844507,4,0,NA,0,0,Hema Yogananda Reddy Shobha,97982168
103651980~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1653814221681,4,0,good,0,0,Devambhotla Sri Sai Raghavendra,103651980
93936237~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1648483169039,4,0,Please provide document along with lecture,0,0,Ufuk zamantılı,93936237
98773677~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1639515676461,4,0,"Good introductory course.  Having the instructor-led, visual tutorial made it interesting.",0,0,Sandra Dowdell,98773677
117947230~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1677059816768,5,0,excellant,0,0,Pratiksha Bhukan,117947230
49126280~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1676918243857,5,0,Good course to acquire basic knowledge about Jira,0,0,José Carlos Villalba Paredes,49126280
65574358~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1676454981812,5,0,Best free course on Jira. Gives you all the ground info you need for working with Jira,0,0,Benjamin Davies,65574358
119507055~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1676372072782,5,0,Like the way he has explained.,0,0,Ahmad Ashraf Khan,119507055
74699478~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1674418006795,5,0,"If you're looking to build new skills, you may not use them in your current job but other companies are using them. It's worth the shot to understand the basics. ",0,0,Brandon Reyes,74699478
118843538~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1674203146285,5,0,It was a good experience i had fun thank you coursera for the opportunity.,0,0,Amodu Ileanwa Gift ,118843538
121265140~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1673939640701,5,0,Easy to understand and follow.,0,0,SW Engineer Len,121265140
99160349~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1672345938279,5,0,Perfect Project For Career Guiding Leading to Job Role as a Project Manager,0,0,Abdul Basit,99160349
101805418~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1671524819583,5,0,Must Course for Beginners ,0,0,Manpreet Singh,101805418
84496916~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1668107380086,5,0,Very Cool!,0,0,Irene Gwyneth Smith,84496916
117938834~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1667878971346,5,0,A very good guided coure,0,0,Marco Antonio Espindola Espindola,117938834
105801438~COURSE!~aaZN4wlrEey7UArf-9pKDQ,1667800444238,5,0,"Course content is very understandable and simple. And for practice, there is a left side screen and videos are on the right-side screen, so it is too easy for learning.  ",0,0,Asha Maru,105801438
