id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
60918493~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1635786051316,1,0,"1. Broken links
2. How blockchain works deeper? 5 weeks about obvious info
",0,0,Petkevich Andrey,60918493
89157126~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1625810003775,1,0,I want to unenroll,0,0,Ghadeer Alame,89157126
28061611~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1617632948372,1,0,"If you are hoping to gain a better understanding of 'how' exactly blockchain can revolutionize everything that it is supposed to be able to (and this course is primarily about describing how great blockchain is and can be) then this is not the course for that. I had a very basic understanding of what blockchain is by reading articles and watching a few videos on YouTube and really wanted to get into just a little more detail on 'how' it actually works and makes interesting new things possible. But this course was just more of the ""it's really great"" without hardly getting into any detail of explaining how it actually works. I've seen 5-10 minutes videos on YouTube that give a better idea of how it works than this course. To be fair, many reviewers seem to have found this course to be useful so I guess it depends on what you're looking for specifically. I just found it to be too theoretical without nearly enough practical examples of it's implementation or application.",0,1,RS,28061611
15037602~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1617403497639,1,0,way behind,0,0,Tom Roush,15037602
3556268~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1600258787898,1,0,"  Absolute garbage. Very little of information and if you don't any basic information about blockchain it is hard to understand it. Dont even consider taking this course, it is just waste of your time>  ",0,3,Imodehr Imodehr,3556268
47245668~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1588180765899,1,0,"This course taught me nothing useful about blockchain. If you heard anything about bitcoin, you can just go to the quizes and do them from the fist try. ",0,3,Marko Yerkovich,47245668
108660710~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1655416268554,2,0,"already had some knowledge in this area, for a begginner stand point  the content is a bit advanced.. and less videos and more reading material is not what most of students prefer...",0,0,Abhishek Dewan,108660710
102372123~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1653915664493,2,0,"The structure, and the content were organized very well and easy to follow, however the content itself has to be updated as many references are outdated to 2014-2018 whereas the resources, technology and governace have changed dramatically since then. Most articles are old and irrelevant. Kind of like a history class more than an updated course on BC technology.  The istuation of energy consumption is taken from 2015 , while the hashing rate has changed and many new chains were added. ",0,0,Maya Gura,102372123
45795916~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1639492839070,2,0,"Keep in mind that I am here giving a note to the all specialization and not only this course. This course is absolutely not what I expected, lack of deep and technical explanations about the blockchain, if you are there for cryptography and computer science you are definitely in the wrong place. It is extremely repetitive so that it gets annoying, boring and especially frustrating. The Tapscott teachers keep throwing in the air quotes of Nobel price laureate and founder of blockchain start-up we never heard off.  The last course is only a peer to peer review. I have been stuck for three weeks waiting for reviews. The funniest part ? I actually bought their book and checked their other specialization ""Blockchain Revolution for financial services"", it is the EXACT SAME SET OF COURSES with different titles. I am seriously  questioning the incentives of the teachers/authors.    Finally I strongly believe that in the fast paced world we are living in it is critical for people to deeply understand the technology that surrounds them and it is not what those courses or this specialization is doing. PS:I put two stars because the book was actually well written but it was hugely presumptuous to make a course out of it.        ",0,2,Paul Adrien CUNY,45795916
93080072~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1630831556205,2,0,1818,0,0,Kevin-Antoine-Jessy Cournaibouilianne,93080072
39069852~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1625779781879,2,0,Finishing the programming assignment on a mac is a nightmare. ,0,0,Vajo Sekulic,39069852
46880550~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1589426892777,2,0,A very basic overview with the Tapscotts pushing their book on you in basically every video.,0,8,John Biddle ,46880550
21936284~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1563442385622,2,0,"I'm actually not very satisfied with this course. I wanted to get an introduction to Blockchain (and this has delivered) and selected INSEAD for high quality. I believe that the two authors of the course are clearly promoting blockchain without taking sufficient scientific evidence to prove its potential in society. Also I found that they focused a lot on their work and that of their platform. All-in-all, I believe that this course is quite biased and a pitch for blockchain rather than a neutral introduction.",0,16,Wouter Stoutjesdijk,21936284
21916723~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1661519800559,3,0,"The course is good but should be updated, especially the videos",0,0,Nicolas T,21916723
100049387~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1650896602580,3,0,"A good introduction with constant updates and industry voices.
INSEAD is the academic partner, main focus of the presentes is to promote their book and show the blockchain as the one thing the world shouldn't be without. Heavy on - good - additional reading should make up for light use of visualization.  ",0,0,Dert Imo,100049387
55360785~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1644773942802,3,0,I feel the course is too high level.  I would have expected more in-depth explanation of Blockchain ,0,0,PAOLO CIARLARIELLO,55360785
52794745~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1636570636096,3,0,"Generally, the video content was informative and useful, although a significant portion of it was outdated. The reading content was not good. Most of it was VERY outdated and in several instances, the links pointed to material that was no longer available or was so outdated that it even labelled the information as not useful when I landed on the content page itself. In one test, the answer to a question about China and its decision about blockchain and crypto is wrong. As of today, China has banned all crypto and the supporting technology. I think this course should be updated to better reflect current market conditions with Blockchain and Bitcoin technologies. Both presenters were good - easy to understand and follow. I think this 5-week course could be much more useful if it were revamped!",0,3,donald ritzman,52794745
56332903~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1621492388827,3,0,"Good introduction, however a lot of overlap with the Introduction to blockchain for financial services module, feels like watching same videos. Perhaps if Coursera could provide recognition for either of the courses done, so as to not duplicate efforts",0,0,Claudius Claassen,56332903
82535865~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1620934785477,3,0,"The course is ok.  Some concepts are explained effectively, but overall it 1) seems more interested in proselytizing  than educating, and 2) too much of the information is provided by links to external sources already available on the web.",0,1,John T,82535865
61662130~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1617594558979,3,0,good informative course .it helped be a lot to gain good knowledge,0,0,THARIGONDA VISHNU VARDHAN,61662130
62488357~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1597741580098,3,0,Its good but technical knowledge is less,0,1,Amar Saxena,62488357
30351719~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1593189777844,3,0,Good for basic introduction Blockchain. Felt very much like a plug for their bookDifficult to be lectured about ethics of technology from a person who himself had to settle with the SEC for fraudulently representing investors.,0,1,Yoshio Tachimoto,30351719
56706396~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1589630409291,3,0,"The course, although being introductory, doesn't explain a lot of terms that are used while explaining, and we are expected to know a few technical concepts beforehand. ",0,1,Tirth Bhatt,56706396
2023422~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1588316836599,3,0,"A good introduction to Blockchain technologies. Quite comprehensive as an introduction. Reached my personal objective to know what BC is all about. What I found missing: how bitcoin issuance can comply with the willingness of states of mastering their monetary policies. As far as the form of the mooc is concerned I found to many videos supersiding one another, too many with the instructor just reading a text without showing some instructive schemes on his screen. All in all I found furthermore that too much relyed on a bunch of (sometimes boring) readings.",0,1,JOSEPH,2023422
11043211~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1585047094432,3,0,Good introduction and clear explanations. Overall it needs further interaction and potentially actual collaboration rather than just looking at videos and reading corresponding literature ,0,0,Luis Sanchez,11043211
1851894~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1579260548640,3,0,"Some of the topics are not dug deep enough and the others cover some items in list format, but  there are no slides to download. Take for example the Wahrton Fintech course - that was perfect. It offered us the ability to downoad all the slides for review which was very useful. ",0,1,F Kohler,1851894
26660621~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1575031512287,3,0,no coding and applications were explained,0,1,Aman Agrawal,26660621
13457298~COURSE!~gVpG7_yEEeijdwpv8TGaaA,1556978525863,3,0,great concise course. But a bit basic and little on use cases and link with entrepreneurship,0,0,Dan,13457298
