id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
107144394~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1666420819003,1,0,N​ot updated.  Does not deliver what it says.  Hard to follow with interface.  Overall worst couse ive seen here.,0,2,Kevin Singh,107144394
121090619~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1673014676819,3,0,the video is not playing even after reopen or refresh.,0,0,Simran Digwa,121090619
93045088~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1639260208006,3,0,too basic this is level 1 of ig if my dad wanted to use it ,0,2,Jeneta,93045088
123587315~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1675868729374,4,0,It was interesting but a bit too long at some point.,0,0,Chisom Ezeh,123587315
116223341~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1675531082542,4,0,Nice for Beginners but very basic Wont recommend for people who know about instagram,0,0,Hansraj Ashutosh Gaikwad,116223341
1701088~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1660064069671,4,0,"Fantastic course about how to optimize your insta account, easy to follow with realistic samples ",0,1,alfonso garcia,1701088
100886643~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1677416723757,5,0,its amazing,0,0,Mohammad maari,100886643
97367087~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1675416735697,5,0,Great instructive work from the instructor. Would like to learn even more courses. Learnt a great skill and implemented it to my social media account.,0,0,Stephen,97367087
54588638~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1674629655428,5,0,Thankyou coursera for guiding me to complete this project im glad i have learned something benefiicial in it.,0,0,Batchu Obed Emmanuel,54588638
111173467~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1673471069809,5,0,Educational and easy to follow instructions,0,0,Arend Lucardie,111173467
68372692~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1666861120813,5,0,.​,0,1,Esma Dahir,68372692
107060214~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1657289454147,5,0,w​orthy,0,0,Omar Aldossary,107060214
105349024~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1650475594087,5,0,كورس جميل و الشرح اجمل و المعلومات اللي فيه حلوه واستفدت منه جدا,0,1,Deleted Account,105349024
88853555~COURSE!~jZP7WS6LEeyRZwruZfI_ww,1645207018298,5,0,Es muy Practica y contundente en la información super bien.,0,0,Carolina Castro Rojas,88853555
