id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
15144972~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1481281561971,1,0,非常不推荐这一门课程，因为报的人实在是太少，又还要求互评，所以根本完不成作业。而且实质内容也不是非常的好，只是说明了几种工具的用法，并没有讲什么实际的学习方法。如果真的希望学习一些好的学习方法，推荐 Learn how to learn 这门课程,0,0,mjk,15144972
5763702~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1462416536882,2,0,主题是很实用的技能 只是内容有点冗余 不够精简 课程趣味性不强 有点无聊,0,0,刘颖,5763702
7711371~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1475228927343,3,0,有收获，主要介绍了信息获取、处理、管理等能力，集中讲解了搜索引擎（google），电子笔记（wiz），RSS（feedly），mind map（mind manager），everything等基础入门操作。,0,0,Yin ChaoX,7711371
18741782~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1465378294298,3,0,这个专项课程比较适合即将毕业或初入社会的学生来,0,0,GlennZhou,18741782
19432164~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1463995796747,3,0,"Thanks to the course, learned a few tips on online searching.  Some contents could be consolidated to shorten session times.  Overall, appreciated Coursera's knowledge sharing.",0,0,Jennie Yu,19432164
20596089~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1530864809988,4,0,掌握一定的工具对于提高工作效率还是很有帮助的。除此之外，改变自己的认知和习惯也非常重要~,0,0,wangchunyan,20596089
7713524~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1467164369903,4,0,老师讲的很细致，适合每个人学习。课程也不需要太多时间，闲暇之余就可以完成。,0,0,kevin_zh,7713524
12137241~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1463640466459,4,0,虽然是一些介绍比较大众的软件，但作者讲得非常细致，能让普通用户有更深入的了解，很实用。,0,0,周涛,12137241
13030496~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1462882065786,4,0,比较实用，中文教学。推荐的RSS和为知笔记很好用，已经在慢慢试着融入自己的生活。希望可以更快的提升自己,0,0,曾洋,13030496
7125338~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1461383366180,4,0,快速学习了该课程。因老师提及的四个点，我之前也有所了解。相对自己之前的理解，这门课程对我个人的提升并不太大。,0,0,ninjaray,7125338
21027119~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1478014000584,5,0,四大工具非常实用，是当下互联网时代应该人人掌握的方法。,0,0,肖晓东,21027119
16853034~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1472968557253,5,0,"搜索引擎的高级检索、命令检索使搜索技巧更上一层楼。思维导图的系统学习，使我明白了思维导图并不像是被某些出版机构和媒体渲染的那样，好像通向人生巅峰的捷径，但其作为一个整理思路的工具是很有效的。RSS部分，受益匪浅，极大拓展了信息来源渠道。为知笔记让信息管理更加方便。很有用的四个工具，多加利用必有相当收获。Thank you, Mr. Luo!",0,0,冯俊亮,16853034
5119338~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1469064129663,5,0,老师讲的技能很实用,0,0,张光辉,5119338
12438876~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1468839681514,5,0,非常好。,0,0,郭腾腾,12438876
5316042~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1467511181398,5,0,再次复习了一遍。希望cousera能开一些通识教育课。,0,1,彭坤,5316042
14078840~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1467077627058,5,0,讲的有很多实用课程,0,0,姚远,14078840
5366268~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1466696255503,5,0,There are some interesting and meaningful ideas and useful skills for your growth.,0,0,Shan Yue,5366268
19449689~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1466330278548,5,0,我旁听的，挺受用的。搜索本领提升；RSS那块的feedly需要翻墙用。虽然很多人都说已经背墙了，但我还是加载不出，翻墙后才能勉强看到。所以考虑换个国货也是为了效率考虑嘛~等个网页等老半天心都碎了。所以呀，老师以后能介绍一些时候中国学生党的快速学习的干货就更好了，毕竟校园网再叠加翻墙代理，想快都快不起来……笔记和导图正熟悉中~,0,0,千歌音,19449689
18990253~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1466178570936,5,0,很实用,0,0,yang,18990253
16640593~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1465113777772,5,0,介绍的软件应用技术真的很实用，尤其在信息社会。还让我想起了一位英语老师，n喜欢发l音,0,0,文前泽,16640593
15118978~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1463929247569,5,0,蛮不错的课程，不仅学到了新的视角，同时获得了学习技能。,0,0,Jijun Du,15118978
18800046~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1463895252238,5,0,都是干货，受益匪浅,0,0,Brittany,18800046
18587292~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1460340994152,5,0,很感谢老师提供的学习方法，现代社会变化万千，只有在不断变化的过程中努力学习才能跟上时代的步伐。,0,0,钟秋晨,18587292
18638330~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1460245928831,5,0,罗老师讲课，越来越好了。支持！,0,0,张玉洲,18638330
8853589~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1460187310877,5,0,入门很不错,0,1,汪泉,8853589
17132568~COURSE!~uGmLdI_nEeW93wo8Ha4kow,1460173008224,5,0,非常好的一个课程，让职场上的人员能够更快速有效系统化的学习工作,0,0,林生,17132568
